period,timeframe,strategy,ma_params,ma_short,ma_long,final_value,total_return_pct,max_drawdown_pct,sharpe_ratio,num_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,total_fees
Q2_2023_Sideways,1d,trend_following,MA10/30,10.0,30.0,9826.66,-1.733,-3.194,-1.487,1,0.0,0.0,-5.054,0.0,4.87
Q2_2023_Sideways,1d,trend_following,MA20/50,20.0,50.0,9826.66,-1.733,-3.194,-1.487,1,0.0,0.0,-5.054,0.0,4.87
Q2_2023_Sideways,1d,trend_following,MA21/55,21.0,55.0,9820.37,-1.796,-3.19,-1.932,1,0.0,0.0,-5.243,0.0,4.87
H2_2024,15m,auto,MA9/21,9.0,21.0,9846.53,-1.535,-1.535,-6.683,19,36.84,0.619,-0.619,0.518,89.34
H2_2024,15m,auto,MA10/30,10.0,30.0,9720.11,-2.799,-2.842,-10.094,18,22.22,0.951,-0.794,0.312,83.74
H2_2024,15m,auto,MA20/50,20.0,50.0,9740.42,-2.596,-2.639,-10.267,27,33.33,0.733,-0.464,0.341,112.34
H2_2024,15m,auto,MA20/100,20.0,100.0,9947.3,-0.527,-2.327,-1.865,12,75.0,1.222,-3.771,0.819,33.56
H2_2024,15m,auto,MA21/55,21.0,55.0,9742.38,-2.576,-2.62,-9.481,25,40.0,0.665,-0.734,0.301,88.74
H2_2024,15m,auto,,,,9861.23,-1.388,-3.949,-3.315,12,50.0,1.062,-1.202,0.666,118.56
H2_2024,15m,mean_reversion,,,,9981.44,-0.186,-0.274,-5.791,6,50.0,0.239,-0.125,0.821,29.98
H2_2024,15m,mtf_trend,,,,10000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
H2_2024,15m,supertrend,,,,10007.07,0.071,-0.806,0.387,6,66.67,1.128,-1.623,1.235,14.97
H2_2024,15m,trend_following,MA9/21,9.0,21.0,9865.58,-1.344,-2.791,-3.702,6,50.0,2.683,-3.035,0.595,24.52
H2_2024,15m,trend_following,MA10/30,10.0,30.0,9829.92,-1.701,-3.027,-4.784,6,50.0,2.562,-3.307,0.521,24.47
H2_2024,15m,trend_following,MA20/50,20.0,50.0,9986.47,-0.135,-1.171,-0.78,7,71.43,1.726,-2.152,0.925,12.42
H2_2024,15m,trend_following,MA20/100,20.0,100.0,10060.07,0.601,-0.56,4.395,7,71.43,1.726,-2.826,2.452,8.77
H2_2024,15m,trend_following,MA21/55,21.0,55.0,9992.22,-0.078,-1.114,-0.436,7,71.43,1.726,-2.066,0.974,12.43
H2_2024,15m,trend_following,,,,9738.02,-2.62,-5.149,-5.98,7,28.57,1.814,-1.94,0.311,68.62
H2_2024,30m,auto,MA9/21,9.0,21.0,9745.1,-2.549,-2.549,-10.326,11,36.36,0.89,-1.567,0.298,49.1
H2_2024,30m,auto,MA10/30,10.0,30.0,10075.06,0.751,-1.603,2.974,5,80.0,1.553,-3.256,1.761,25.1
H2_2024,30m,auto,MA20/50,20.0,50.0,10092.4,0.924,-0.901,5.285,6,50.0,1.313,-0.126,9.719,21.36
H2_2024,30m,auto,MA20/100,20.0,100.0,10024.97,0.25,-1.021,1.596,6,83.33,0.928,-1.258,1.646,12.5
H2_2024,30m,auto,MA21/55,21.0,55.0,10029.85,0.298,-0.928,1.693,8,62.5,0.808,-1.077,1.644,26.19
H2_2024,30m,mean_reversion,,,,9976.17,-0.238,-0.238,-13.381,3,0.0,0.0,-0.089,0.0,14.98
H2_2024,30m,mtf_trend,,,,10000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
H2_2024,30m,supertrend,,,,9976.09,-0.239,-1.937,-1.152,4,50.0,1.575,-2.031,0.712,9.98
H2_2024,30m,trend_following,MA9/21,9.0,21.0,9830.5,-1.695,-2.697,-6.006,6,50.0,2.348,-2.809,0.408,19.61
H2_2024,30m,trend_following,MA10/30,10.0,30.0,9981.4,-0.186,-2.287,-0.687,5,60.0,2.223,-1.822,0.895,14.94
H2_2024,30m,trend_following,MA20/50,20.0,50.0,10081.08,0.811,-0.353,5.51,3,66.67,1.507,-0.405,41.819,6.31
H2_2024,30m,trend_following,MA20/100,20.0,100.0,10016.72,0.167,-0.287,5.039,4,75.0,1.648,-0.405,9.824,2.51
H2_2024,30m,trend_following,MA21/55,21.0,55.0,10081.08,0.811,-0.353,5.545,3,66.67,1.507,-0.405,41.819,6.31
H2_2024,1h,auto,MA9/21,9.0,21.0,10496.8,4.968,-6.271,0.972,98,40.82,2.11,-0.957,1.374,479.96
H2_2024,1h,auto,MA10/30,10.0,30.0,11033.44,10.334,-6.425,1.777,104,49.04,2.44,-1.134,1.601,476.96
H2_2024,1h,auto,MA20/50,20.0,50.0,10673.4,6.734,-4.888,1.192,118,46.61,2.111,-1.017,1.446,519.78
H2_2024,1h,auto,MA20/100,20.0,100.0,11263.49,12.635,-6.025,2.117,76,55.26,2.563,-1.012,2.2,300.12
H2_2024,1h,auto,MA21/55,21.0,55.0,10660.06,6.601,-5.052,1.156,110,50.0,2.168,-1.157,1.428,467.47
H2_2024,1h,auto,,,,9875.62,-1.244,-16.353,0.041,168,47.02,2.562,-1.666,1.136,1592.4
H2_2024,1h,mean_reversion,,,,9726.92,-2.731,-2.873,-3.039,42,50.0,0.338,-0.432,0.514,205.99
H2_2024,1h,mtf_trend,,,,10376.2,3.762,-7.65,0.863,51,35.29,3.475,-1.964,1.358,173.61
H2_2024,1h,supertrend,,,,10662.31,6.623,-4.753,1.497,52,40.38,5.349,-1.818,1.692,143.01
H2_2024,1h,trend_following,MA9/21,9.0,21.0,11711.41,17.114,-7.351,2.731,53,71.7,4.693,-2.261,2.461,187.4
H2_2024,1h,trend_following,MA10/30,10.0,30.0,11473.42,14.734,-7.007,2.453,49,67.35,4.209,-2.254,2.194,177.95
H2_2024,1h,trend_following,MA20/50,20.0,50.0,11570.65,15.706,-4.933,2.65,46,65.22,3.815,-1.761,2.952,152.45
H2_2024,1h,trend_following,MA20/100,20.0,100.0,11845.0,18.45,-4.54,2.991,52,65.38,3.572,-1.953,2.968,170.32
H2_2024,1h,trend_following,MA21/55,21.0,55.0,11652.14,16.521,-4.004,2.75,50,64.0,3.706,-1.894,2.849,160.89
H2_2024,1h,trend_following,,,,9522.23,-4.778,-18.35,-0.221,110,40.0,4.124,-2.466,1.001,961.59
H2_2024,4h,auto,MA9/21,9.0,21.0,10644.4,6.444,-7.627,1.241,38,50.0,5.911,-2.025,1.544,151.08
H2_2024,4h,auto,MA10/30,10.0,30.0,10684.73,6.847,-6.652,1.26,41,53.66,5.359,-2.346,1.545,160.82
H2_2024,4h,auto,MA20/50,20.0,50.0,10782.49,7.825,-5.833,1.411,51,52.94,3.493,-1.687,1.67,185.59
H2_2024,4h,auto,MA20/100,20.0,100.0,10930.87,9.309,-4.951,1.659,37,64.86,3.917,-2.477,2.03,128.84
H2_2024,4h,auto,MA21/55,21.0,55.0,11029.86,10.299,-4.245,1.891,41,58.54,3.866,-1.654,2.201,147.6
H2_2024,4h,mean_reversion,,,,10051.11,0.511,-0.966,0.546,27,59.26,0.659,-0.449,1.618,134.9
